{'title': '恒瑞医药注射用卡瑞利珠单抗主要研究终点结果达到方案预设优效标准', 'label': '1'}
{'title': '华兴源创发行股份购买资产并募集配套资金事项获证监会核准', 'label': '1'}
{'title': '亚士创能签订特别重大合同预计订单总额为亿元', 'label': '1'}
{'title': '杭萧钢构与江西温商产业园发展有限公司签署合作协议等事项', 'label': '1'}
{'title': '福莱特定增募集资金总额不超过亿元', 'label': '1'}
{'title': '乐歌股份预计上半年净利润同比增长至', 'label': '1'}
{'title': '杭钢股份发行股份及支付现金购买资产获浙江省国资委原则同意', 'label': '1'}
{'title': '上海建工拟发行规模不超过亿元自贸区债券', 'label': '1'}
{'title': '长江电力拟发行并申请在伦敦证券交易所挂牌上市', 'label': '1'}
{'title': '沪电股份拟筹划股权激励计划', 'label': '1'}
{'title': '成都银行董事高管拟增持不低于万元股份稳定股价', 'label': '1'}
{'title': '兖州煤业获控股股东增持万股股', 'label': '1'}
{'title': '康辰药业拟择机出售所持国药股份不超万股', 'label': '1'}
{'title': '中超控股子公司与哈峰新材料签署战略合作框架协议', 'label': '1'}
{'title': '达刚控股子公司中标万元城市运维项目', 'label': '1'}
{'title': '阳煤化工亿元转让家公司股权', 'label': '1'}
{'title': '首创股份拟亿元建石家庄市一工程项目', 'label': '1'}
{'title': '华发股份珠海全资子公司亿元本市拿地', 'label': '1'}
{'title': '诚邦股份联合签下万元项目合同', 'label': '1'}
{'title': '红旗连锁拟万元设海南全资子公司', 'label': '1'}
{'title': '红旗连锁拟万元设兰州合资公司占股', 'label': '1'}
{'title': '海利得拟亿元投建年产吨高端压延膜项目', 'label': '1'}
{'title': '东华软件与华为签署鲲鹏服务器授权合作协议', 'label': '1'}
{'title': '洁美科技预计上半年净利润同比增', 'label': '1'}
{'title': '振静股份重组有条件过会月日复牌', 'label': '1'}
{'title': '华通医药重组无条件过会月日复牌', 'label': '1'}
{'title': '龙元建设中标宁波象山亿元项目', 'label': '1'}
{'title': '全筑股份拟定增募资亿元用于收购全筑装饰股权和补充流动资金', 'label': '1'}
{'title': '南山铝业拟发行不超亿元公司债', 'label': '1'}
{'title': '闻泰科技发行股份及支付现金购买资产事项获得证监会无条件通过月日复牌', 'label': '1'}
{'title': '中国太保意向发行不超过亿份的', 'label': '1'}
{'title': '华邦健康子公司公开发行股票并在精选层挂牌事项获审核通过', 'label': '1'}
{'title': '泉峰汽车拟推万股限制性股票激励计划', 'label': '1'}
{'title': '安凯公司已向深交所提交撤销公司股票交易退市风险警示的申请', 'label': '1'}
{'title': '国泰君安首次回购万股耗资万元', 'label': '1'}
{'title': '皖通科技股东西藏景源再度举牌持股达', 'label': '1'}
{'title': '金力泰与沄柏资本签署战略合作协议', 'label': '1'}
{'title': '华夏航空与中国商飞签订战略合作框架协议', 'label': '1'}
{'title': '春秋电子拟向恒精材料科技增资万元', 'label': '1'}
{'title': '高能环境中标伊宁市亿元项目', 'label': '1'}
{'title': '亚士创能拟投亿元建涂料制造基地', 'label': '1'}
{'title': '三人行拟万元设立数字技术全资子公司', 'label': '1'}
{'title': '广汇能源启东接收站项目三期工程投入试运行', 'label': '1'}
{'title': '凯撒文化与国内某大型游戏发行公司正在洽谈签署战略合作事项', 'label': '1'}
{'title': '中持股份中标万元污水处理项目', 'label': '1'}
{'title': '中国电建前个月新签合同额约亿元同比增', 'label': '1'}
{'title': '通达动力预计上半年净利润同比增', 'label': '1'}
{'title': '龙大肉食龙大养殖月生猪销售收入环比增加', 'label': '1'}
{'title': '王府井公司知悉免税牌照业务的内幕知情人没有违反保密义务行为', 'label': '1'}
{'title': '四维图新子公司中交宇科获准导航电子地图制作甲级测绘资质增项', 'label': '1'}
{'title': '派思股份鄂尔多斯派思液化天然气项目正式投产', 'label': '1'}
{'title': '腾龙股份拟定增募资不超亿元', 'label': '1'}
{'title': '金运激光拟定增募资不超亿元布局衍生品运营等领域', 'label': '1'}
{'title': '南京证券定增不超亿股新股获证监会批准', 'label': '1'}
{'title': '闻泰科技重组月日上会当日起停牌', 'label': '1'}
{'title': '朗姿股份参股公司广州若羽臣科技股份有限公司月日首发上会', 'label': '1'}
{'title': '北京利尔首次回购万股耗资万元', 'label': '1'}
{'title': '中设集团首次回购万股耗资万元', 'label': '1'}
{'title': '中原环保联合投建信阳亿元项目', 'label': '1'}
{'title': '金新农与广东韶关曲江区政府就生猪养殖项目达成协议', 'label': '1'}
{'title': '亚盛集团拟投万元建一项移民安置项目', 'label': '1'}
{'title': '亚盛集团向全资子公司兴农公司增资扩股万元', 'label': '1'}
{'title': '恒为科技万元收购勤慕数据股权', 'label': '1'}
{'title': '风范股份全资子公司风范绿建签下亿元采购合同', 'label': '1'}
{'title': '傲农生物拟投亿元建头母猪自繁自养养殖基地项目', 'label': '1'}
{'title': '中国中铁未来五年公司拟在长春投资总规模不少于亿元', 'label': '1'}
{'title': '迈得医疗拟向迈诚公司销售熔喷挤出机台合同总金额预计不超万元', 'label': '1'}
{'title': '大北农月生猪销售收入同比增', 'label': '1'}
{'title': '西部牧业月生鲜乳产量同比增', 'label': '1'}
{'title': '环旭电子月营业收入亿元同比增', 'label': '1'}
{'title': '长城汽车月汽车销量同比增长', 'label': '1'}
{'title': '王府井公司获得免税品经营资质', 'label': '1'}
{'title': '海马申请撤销退市风险警示', 'label': '1'}
{'title': '成都银行将制定稳定股价具体措施', 'label': '1'}
{'title': '长沙银行拟定增募资不超亿元补充公司核心一级资本', 'label': '1'}
{'title': '安恒信息拟在临港新片区投资经营安恒信息长三角总部项目', 'label': '1'}
{'title': '招商蛇口月签约销售金额亿元同比增', 'label': '1'}
{'title': '康美梅河口政府指定财源投资出资亿元参与爱民公司增资扩股', 'label': '1'}
{'title': '新洋丰拟发行不超过亿元可转债', 'label': '1'}
{'title': '立昂技术拟向全资子公司立昂极视增资万元', 'label': '1'}
{'title': '三角防务拟发行不超亿元可转债', 'label': '1'}
{'title': '吉电股份定增募资不超亿元获实控人原则同意', 'label': '1'}
{'title': '城地股份公开发行可转债申请获发审委审核通过', 'label': '1'}
{'title': '世茂股份第三大股东世茂投资累计增持股份', 'label': '1'}
{'title': '新凤鸣拟亿元投建新材料项目', 'label': '1'}
{'title': '长海股份拟新建条薄毡生产线', 'label': '1'}
{'title': '京能电力子公司拟收购通源热力股权', 'label': '1'}
{'title': '康德莱拟向全资子公司康德莱药业增资亿元', 'label': '1'}
{'title': '华建集团联合中标世博文化公园万元工程', 'label': '1'}
{'title': '炬华科技预中标南方电网约万元项目', 'label': '1'}
{'title': '联泰环保联合预中标亿元项目', 'label': '1'}
{'title': '龙元建设联合预中标亿元项目', 'label': '1'}
{'title': '达实智能联合中标亿元数据中心项目', 'label': '1'}
{'title': '天康生物月生猪销售收入同比增', 'label': '1'}
{'title': '鹏鼎控股月营收同比增', 'label': '1'}
{'title': '新希望月生猪销售收入同比增', 'label': '1'}
{'title': '曙光股份月皮卡产量同比增加', 'label': '1'}
{'title': '九洲药业全资子公司江苏瑞科获准近日复产', 'label': '1'}
{'title': '杭锅股份成都分公司已设立完成', 'label': '1'}
{'title': '国泰君安拟回购万股万股拟向激励对象授予不超万股股限制性股票', 'label': '1'}
{'title': '中国平安平安资管拟元股认购招商蛇口非公开发行股份', 'label': '1'}
{'title': '招商蛇口拟收购南油集团剩余股权', 'label': '1'}
{'title': '三安光电全资子公司与华星成立联合实验室', 'label': '1'}
{'title': '华菱星马吉利商用车意向受让控股股东拟转让的公司股份', 'label': '1'}
{'title': '荣丰控股拟以发行股份的方式购买威宇医疗', 'label': '1'}
{'title': '凯瑞巴士罗普步森撤销退市风险警示并被实施其他风险警示', 'label': '1'}
{'title': '荣联撤销退市风险警示月日起简称变更为荣之联', 'label': '1'}
{'title': '台华新材拟定增募资不超过亿元全部用于补充流动资金', 'label': '1'}
{'title': '紫金矿业拟亿元收购巨龙铜业的股权', 'label': '1'}
{'title': '田中精机控股股东等拟转让所持公司股份给张玉龙', 'label': '1'}
{'title': '汇金通控股股东实际控制人签署股份转让协议等暨公司控制权拟变更', 'label': '1'}
{'title': '三安光电定增不超亿股新股获证监会核准', 'label': '1'}
{'title': '掌趣科技首次回购万股耗资万元', 'label': '1'}
{'title': '中贝通信子公司与菲律宾公司签下约亿元人民币合同', 'label': '1'}
{'title': '金运激光拟投资收购玩偶一号股权', 'label': '1'}
{'title': '小商品城全资子公司亿元义乌市佛堂镇拿地', 'label': '1'}
{'title': '龙建股份中标亿元公路建设项目', 'label': '1'}
{'title': '松芝股份拟收购京滨大洋股权', 'label': '1'}
{'title': '桐昆股份拟向全资子公司桐昆投资增资亿元', 'label': '1'}
{'title': '林洋能源预中标南方电网约亿元采购项目', 'label': '1'}
{'title': '美凯龙拟定增募资亿元拓展商场网络布局新零售', 'label': '1'}
{'title': '盛洋科技非公开发行股票申请获证监会核准', 'label': '1'}
{'title': '三一重工拟注册发行不超亿元应收账款债权资产支持票据', 'label': '1'}
{'title': '达安基因参股公司安必平科创板首发过会', 'label': '1'}
{'title': '恺英网络董事长累计增持股份完成增持计划', 'label': '1'}
{'title': '鹏鹞环保控股股东方面拟增持股份', 'label': '1'}
{'title': '密尔克卫实控人累计增持万股增持计划实施完毕', 'label': '1'}
{'title': '蓝色光标拟择机出售拉卡拉部分股份投资收益不超亿元', 'label': '1'}
{'title': '甘肃电投拟参与甘肃电力交易中心增资项目', 'label': '1'}
{'title': '豫园股份全资子公司拟亿元收购复星津美股权', 'label': '1'}
{'title': '棕榈股份联合中标亿元学校扩建项目', 'label': '1'}
{'title': '林洋能源中标国家电网亿元采购项', 'label': '1'}
{'title': '炬华科技中标国家电网亿元采购项目', 'label': '1'}
{'title': '数码科技中标歌华有线年度复用加扰器采购项目', 'label': '1'}
{'title': '高能环境中标桃源县项目及青岛市项目', 'label': '1'}
{'title': '绿色动力签署章丘区垃圾焚烧发电二期项目特许经营合同', 'label': '1'}
{'title': '福田汽车前月汽车销量同比增长', 'label': '1'}
{'title': '傲农生物月生猪销量环比增长', 'label': '1'}
{'title': '东风汽车月销量同比增长', 'label': '1'}
{'title': '申达股份子公司绝大部分境外工厂复工复产', 'label': '1'}
{'title': '步森申请撤销退市风险警示', 'label': '1'}
{'title': '彤程新材拟发行不超亿元可转债', 'label': '1'}
{'title': '中国太保发行获证监会核准', 'label': '1'}
{'title': '华泰证券已累计回购公司股股份万股耗资约亿元', 'label': '1'}
{'title': '智云股份引入战投小米科技', 'label': '1'}
{'title': '妙可蓝多年员工持股计划所持公司万股股票已全部出售完毕', 'label': '1'}
{'title': '中金岭南控股股东方面增持公司约股份耗资约亿元', 'label': '1'}
{'title': '亚泰集团拟亿元转让吉林亚泰医药产业园等资产预计增利约亿元', 'label': '1'}
{'title': '南京银行与江苏省烟草公司展开战略合作', 'label': '1'}
{'title': '三钢闽光亿元收购罗源闽光股权', 'label': '1'}
{'title': '滨江集团亿元苏州市吴中区拿地', 'label': '1'}
{'title': '中国中冶三家子公司拟以医院资产作价向通用五矿医院增资总计亿元', 'label': '1'}
{'title': '圣济堂拟再次挂牌转让桐梓化工股权挂牌价亿元', 'label': '1'}
{'title': '岭南股份中标东莞市亿元工程', 'label': '1'}
{'title': '跃岭股份拟向全资子公司昌益投资增资万元', 'label': '1'}
{'title': '金力泰拟万元收购中科世宇股权', 'label': '1'}
{'title': '棕榈股份中标两项目总投资额亿元', 'label': '1'}
{'title': '天永智能中标万元上汽集团采购项目', 'label': '1'}
{'title': '盘江股份拟亿元收购盘南煤炭股权', 'label': '1'}
{'title': '吉宏股份预计上半年净利润同比增至', 'label': '1'}
{'title': '广州港预计月集装箱吞吐量同比增长', 'label': '1'}
{'title': '宁波港预计月货物吞吐量同比增长', 'label': '1'}
{'title': '荣盛发展月签约金额同比增长', 'label': '1'}
{'title': '江铃汽车月销量同比增长', 'label': '1'}
{'title': '东安动力月发动机销量同比增长', 'label': '1'}
{'title': '江淮汽车收到政府补助万元', 'label': '1'}
{'title': '四川长虹今年获得与收益相关政府补助万元', 'label': '1'}
{'title': '中海达拟定增募资不超亿元助力北斗产业发展', 'label': '1'}
{'title': '美尚生态筹划公开发行可转债', 'label': '1'}
{'title': '中铁工业参与设立中铁合肥新型交通产业投资公司注册资本亿元', 'label': '1'}
{'title': '云投撤销退市风险警示实施其他风险警示', 'label': '1'}
{'title': '精功科技中标吉林亿元项目', 'label': '1'}
{'title': '招商银行发行不超亿元无固定期限资本债券获银保监会和央行核准', 'label': '1'}
{'title': '西安银行公开发行不超亿元二级资本债券获央行核准', 'label': '1'}
{'title': '青农商行发行不超亿元二级资本债券获准', 'label': '1'}
{'title': '祥鑫科技拟发行不超亿元可转债', 'label': '1'}
{'title': '南京化纤拟收购上海越科月日起停牌', 'label': '1'}
{'title': '东南月日起摘星脱帽', 'label': '1'}
{'title': '歌华有线控股股东以所持公司股份参与组建中国广电网络', 'label': '1'}
{'title': '海南矿业拟收购甘肃金徽矿业有限责任公司股权', 'label': '1'}
{'title': '南钢股份发行股份购买资产事项获证监会核准', 'label': '1'}
{'title': '苏宁易购累计耗资亿元回购股份', 'label': '1'}
{'title': '吉祥航空首次回购股份耗资万元', 'label': '1'}
{'title': '神开股份赵心怡及其一致行动人持股比例升至', 'label': '1'}
{'title': '盛屯矿业与厦钨新能源展开战略合作', 'label': '1'}
{'title': '步长制药将与兰州百灵合作研发四价流感病毒裂解疫苗', 'label': '1'}
{'title': '泸州老窖拟酿酒工程技改项目增加亿元投资', 'label': '1'}
{'title': '天业拟投建产城融合项目', 'label': '1'}
{'title': '万里扬产品获得吉利汽车配套定点', 'label': '1'}
{'title': '中广核技拟万元获四川国清源公司股权', 'label': '1'}
{'title': '盈峰环境长沙子公司中标广州亿元项目', 'label': '1'}
{'title': '甘咨询中标万元项目', 'label': '1'}
{'title': '高能环境中标北京顺义亿元项目', 'label': '1'}
{'title': '锦江投资子公司拟万元受让上海高校出租汽车股权', 'label': '1'}
{'title': '宝丰能源首发上市募投项目全面投产', 'label': '1'}
{'title': '龙元建设联合中标安徽中华孝文化园项目项目总投资亿元', 'label': '1'}
{'title': '三星医疗预中标亿元国家电网采购项目', 'label': '1'}
{'title': '东方通信拟亿元投建智能制造基地项目', 'label': '1'}
{'title': '金新农月生猪销售收入同比增', 'label': '1'}
{'title': '华宇软件前月获万元政府补助', 'label': '1'}
{'title': '卫宁健康月至今获政府补助万元', 'label': '1'}
{'title': '贵研铂业前月获政府补助万元', 'label': '1'}
{'title': '兰太实业股票简称月日起改为中盐化工', 'label': '1'}
{'title': '上海医药片获批临床试验拟用于晚期实体瘤治疗', 'label': '1'}
{'title': '渝农商行重庆小米消费金融公司开业', 'label': '1'}
{'title': '泰晶科技拟定增募资不超亿元', 'label': '1'}
{'title': '锦泓集团拟定增募资不超亿元', 'label': '1'}
{'title': '福达合金拟定增募资不超亿元', 'label': '1'}
{'title': '亿通科技重组月日上会当日起停牌', 'label': '1'}
{'title': '山河智能首次回购股份耗资万元', 'label': '1'}
{'title': '步步高首次回购股份耗资逾万元', 'label': '1'}
{'title': '隆基股份拟亿元投建曲靖年产单晶硅棒和硅片项目', 'label': '1'}
{'title': '山东高速拟亿元收购山东高速轨道交通集团股权', 'label': '1'}
{'title': '京沪高铁拟与中国铁道科学研究院集团展开战略合作', 'label': '1'}
{'title': '襄阳轴承与同方股份展开战略合作', 'label': '1'}
{'title': '龙泉股份全资子公司新峰管业中标亿元项目', 'label': '1'}
{'title': '东方明珠广西广电江苏有线电广传媒吉视传媒和贵广网络拟参与组建中国广电网络公司', 'label': '1'}
{'title': '洛阳玻璃子公司超白光热材料项目生产线点火投产', 'label': '1'}
{'title': '万华化学月份上调中国地区价格', 'label': '1'}
{'title': '工商银行拟在境内市场发行不超亿元的合格二级资本工具', 'label': '1'}
{'title': '中国石油发行不超过亿元公司债券申请注册获证监会批准', 'label': '1'}
{'title': '南方航空定增不超亿股新股获证监会核准', 'label': '1'}
{'title': '泰和新材重组无条件过会月日复牌', 'label': '1'}
{'title': '歌华有线控股股东正筹划重大事项月日停牌', 'label': '1'}
{'title': '科大讯飞参股公司三人行将挂牌上市公司持股', 'label': '1'}
{'title': '鄂尔多斯控股股东及一致行动人拟增持万美元万美元股股份', 'label': '1'}
{'title': '健盛集团第一期员工持股计划所持股份出售完毕', 'label': '1'}
{'title': '葛洲坝签订逾亿元海外合同', 'label': '1'}
{'title': '联明股份拟亿元收购联明包装股权', 'label': '1'}
{'title': '超讯通信收到贵州移动亿元采购协议', 'label': '1'}
{'title': '东方电缆中标两个项目总金额亿元', 'label': '1'}
{'title': '科泰电源预中标中移动采购项目三个标包', 'label': '1'}
{'title': '粤水电全资子公司拟投约亿元广西南平建风电项目', 'label': '1'}
{'title': '甘咨询中标万元黄河生态保护项目', 'label': '1'}
{'title': '海印股份与广东进出口商会签署外贸战略合作协议', 'label': '1'}
{'title': '润禾材料拟投亿元建高端有机硅电子化学品及高端功能性纺织化学品项目基地', 'label': '1'}
{'title': '中核钛白与中国信达签下全面战略合作协议', 'label': '1'}
{'title': '德力股份收到参股公司凤阳农商行分红万元', 'label': '1'}
{'title': '金莱特预中标亿元项目', 'label': '1'}
{'title': '富祥药业预计上半年净利同比增', 'label': '1'}
{'title': '比亚迪比亚迪半导体拟增资扩股引入战投合计增资亿元', 'label': '1'}
{'title': '焦作万方拟变更为一家有控股股东及实控人的企业', 'label': '1'}
{'title': '国轩高科实控人和控股股东拟向战投转让部分股权并涉表决权安排同时定向增发股份或致实际控制权变更', 'label': '1'}
{'title': '金徽酒控股股东筹划重大事项可能导致控制权发生变更', 'label': '1'}
{'title': '古越龙山拟拟通过非公开发行股票引入战投前海富荣与盈家科技', 'label': '1'}
{'title': '飞天诚信拟定增募资不超亿元用于下一代安全芯片设备系统的研发及产业化项目', 'label': '1'}
{'title': '网达软件拟定增募资不超万元用于高新视频服务平台等项目', 'label': '1'}
{'title': '恒锋工具拟定增募资不超亿元用于智能制造优化升级改造项目及补充流动资金', 'label': '1'}
{'title': '隆华科技股东通用投资累计增持公司股份', 'label': '1'}
{'title': '唐德影视浙江广播电视集团将成为公司实际控制人', 'label': '1'}
{'title': '中南无锡市中级人民法院同意公司预重整', 'label': '1'}
{'title': '岩石收到结案通知书证监会对公司不予行政处罚', 'label': '1'}
{'title': '华兴源创发行股份购买资产并募集配套资金事项获上交所审核通过', 'label': '1'}
{'title': '晨鑫拟定增募资不超亿元将用于支付收购慧新辰股权的应付款和研发生产项目等', 'label': '1'}
{'title': '旺能环境拟发行不超亿元可转债用于汕头市澄海洁源垃圾发电厂扩建等项目', 'label': '1'}
{'title': '顺网科技拟公开发行不超亿元可转债拟投入顺网云服务平台建设项目', 'label': '1'}
{'title': '苏州高新拟发行不超亿元公司债用于偿还前期债务及补充流动资金', 'label': '1'}
{'title': '巨星科技子公司欧镭激光与美国客户签订台小型激光雷达订单', 'label': '1'}
{'title': '滨化股份拟与三峡资本等共同发起设立水木氢源基金', 'label': '1'}
{'title': '国新文化与中兴通讯签订战略合作框架协议', 'label': '1'}
{'title': '亚太实业第一大股东将变更为兰州太华', 'label': '1'}
{'title': '华孚时尚子公司阿克苏华孚被列入实体清单不会对公司的日常经营产生实质性影响', 'label': '1'}
{'title': '东方网力本次被列入实体清单不会对公司的日常经营产生实质性影响', 'label': '1'}
{'title': '德邦股份拟定增募资不超亿元韵达股份旗下公司全额认购', 'label': '1'}
{'title': '金圆股份拟定增募资不超亿元引入海螺创业等战投', 'label': '1'}
{'title': '金力永磁拟定增募资不超亿元用于年产吨新能源汽车及领域高端磁材项目等', 'label': '1'}
{'title': '众应互联拟收购网红电商领域企业元纯传媒股权其目前签约网红多人', 'label': '1'}
{'title': '中装建设拟万元收购宽原电子股权进军领域', 'label': '1'}
{'title': '德豪申请撤销股票交易退市风险警示', 'label': '1'}
{'title': '泰格医药控股企业月日在韩国证券期货交易所市场挂牌上市', 'label': '1'}
{'title': '火炬电子第三期员工持股计划股票出售完毕', 'label': '1'}
{'title': '国祯环保员工持股计划所持股票已全部出售完毕', 'label': '1'}
{'title': '孚日股份首次回购万股耗资约万元', 'label': '1'}
{'title': '宜生股票收盘价低于面值两名董事增持股份', 'label': '1'}
{'title': '黔源电力控股股东中国华电增持股份', 'label': '1'}
{'title': '中国建筑近期获亿元重大项目', 'label': '1'}
{'title': '华远地产拟亿元转让全资孙公司华睿立远股权及债权', 'label': '1'}
{'title': '诚意药业拟不超亿元收购康乐药业不超股权', 'label': '1'}
{'title': '桃李面包拟向家全资子公司增资总计亿元', 'label': '1'}
{'title': '三星医疗中标亿元智能电表项目', 'label': '1'}
{'title': '乾景园林中标北京海淀区万元工程', 'label': '1'}
{'title': '长城影视拟投资拍摄系列高端竖屏剧郭大侠的前世今生', 'label': '1'}
{'title': '红太阳万元增资坤宁生物推进百草枯特效解毒剂产业化', 'label': '1'}
{'title': '克明面业预计上半年净利润同比增', 'label': '1'}
{'title': '智慧松德子公司大宇精雕将为信利光电提供万元设备采购额度', 'label': '1'}
{'title': '胜尔拟万元设立两家全资子公司准备转型环保', 'label': '1'}
{'title': '京天利拟亿元参设合伙企业投资信息技术和网络', 'label': '1'}
{'title': '运达科技拟收购运达电气股权价格未确定', 'label': '1'}
{'title': '恒宝股份拟亿元设立全资子公司', 'label': '1'}
{'title': '泰格医药控股企业月日在韩国证券期货交易所市场挂牌上市', 'label': '1'}
{'title': '火炬电子第三期员工持股计划股票出售完毕', 'label': '1'}
{'title': '国祯环保员工持股计划所持股票已全部出售完毕', 'label': '1'}
{'title': '孚日股份首次回购万股耗资约万元', 'label': '1'}
{'title': '宜生股票收盘价低于面值两名董事增持股份', 'label': '1'}
{'title': '黔源电力控股股东中国华电增持股份', 'label': '1'}
{'title': '中国建筑近期获亿元重大项目', 'label': '1'}
{'title': '华远地产拟亿元转让全资孙公司华睿立远股权及债权', 'label': '1'}
{'title': '诚意药业拟不超亿元收购康乐药业不超股权', 'label': '1'}
{'title': '桃李面包拟向家全资子公司增资总计亿元', 'label': '1'}
{'title': '三星医疗中标亿元智能电表项目', 'label': '1'}
{'title': '乾景园林中标北京海淀区万元工程', 'label': '1'}
{'title': '长城影视拟投资拍摄系列高端竖屏剧郭大侠的前世今生', 'label': '1'}
{'title': '红太阳万元增资坤宁生物推进百草枯特效解毒剂产业化', 'label': '1'}
{'title': '克明面业预计上半年净利润同比增', 'label': '1'}
{'title': '智慧松德子公司大宇精雕将为信利光电提供万元设备采购额度', 'label': '1'}
{'title': '胜尔拟万元设立两家全资子公司准备转型环保', 'label': '1'}
{'title': '京天利拟亿元参设合伙企业投资信息技术和网络', 'label': '1'}
{'title': '运达科技拟收购运达电气股权价格未确定', 'label': '1'}
{'title': '恒宝股份拟亿元设立全资子公司', 'label': '1'}
{'title': '英派斯拟定增募资不超亿元', 'label': '1'}
{'title': '长安汽车定增获中国兵器装备集团批准', 'label': '1'}
{'title': '美锦能源拟将子公司飞驰汽车分拆至创业板上市', 'label': '1'}
{'title': '唐人神拟亿元投资年出栏万头生猪生态产业链项目', 'label': '1'}
{'title': '银宝山新拟公开挂牌转让银宝压铸股权', 'label': '1'}
{'title': '天瑞仪器联合中标安岳县亿元项目', 'label': '1'}
{'title': '数码科技中标亿元中移物联智能机顶盒供应商名录项目', 'label': '1'}
{'title': '中国联通月份用户净增万户', 'label': '1'}
{'title': '桂林旅游公司暂停运营的业务全部恢复运营', 'label': '1'}
{'title': '宁波银行发行不超亿元二级资本债获央行核准', 'label': '1'}
{'title': '国网英大拟向控股子公司英大证券增资亿元', 'label': '1'}
{'title': '京汉股份奥园科星将成为公司控股股东', 'label': '1'}
{'title': '国投资本公司拟公开发行不超过亿元可续期公司债券', 'label': '1'}
{'title': '胜宏科技拟定增募资不超过亿元', 'label': '1'}
{'title': '拓普集团拟定增募资不超过亿元用于汽车轻量化底盘系统项目', 'label': '1'}
{'title': '激智科技拟定增募资不超亿元小米长江产业基金拟认购一半', 'label': '1'}
{'title': '长投拟定增募资不超过亿元用于还贷', 'label': '1'}
{'title': '中南澄邦企管成为公司控股股东', 'label': '1'}
{'title': '德奥筹划重大资产重组拟注入幼儿教育信息化技术服务相关股权资产', 'label': '1'}
{'title': '美克家居控股股东签署表决权委托解除协议书暨股东权益变动', 'label': '1'}
{'title': '顺丰控股月速运物流业务营收亿元同比增业务量亿票同比增', 'label': '1'}
{'title': '圆通速递月份快递产品收入亿元同比增', 'label': '1'}
{'title': '海鸥住工与富士康工业互联网股份有限公司签署战略合作框架协议双方就共同打造工业互联网应用于住宅工业', 'label': '1'}
{'title': '天邑股份中标亿元中移物联采购项目', 'label': '1'}
{'title': '广生堂新型肝癌靶向药物正在开展剂量组的招募和入组工作', 'label': '1'}
{'title': '佐力药业参股公司旗下公司获得美国临床试验批准', 'label': '1'}
{'title': '迈克生物新冠病毒化学发光检测产品获得注册证书', 'label': '1'}
{'title': '江龙船艇与海关总署签订万元缉私艇项目合同书', 'label': '1'}
{'title': '宜安科技可降解镁骨内固定螺钉获得认证证书', 'label': '1'}
{'title': '朗新科技实控人拟不低于万元增持股份', 'label': '1'}
{'title': '皖通科技西藏景源增持股份超过', 'label': '1'}
{'title': '双汇发展拟非公开发行募资不超过亿元', 'label': '1'}
{'title': '新纶科技控股股东将公司股份的表决权委托至银川金融控股集团行使', 'label': '1'}
{'title': '超频三控股股东等拟将公司股份转让给益阳高新产业投资', 'label': '1'}
{'title': '金发科技子公司签订亿美元重大口罩出口合同', 'label': '1'}
{'title': '金溢科技公司实际控制人变更为罗瑞发先生', 'label': '1'}
{'title': '永鼎股份拟定增募资不超过亿元用于承载网光器件核心芯片研发基地建设项目等', 'label': '1'}
{'title': '金贵与工行郴州北湖支行签订债务转移暨股东代偿协议以解决公司控股股东资金占用', 'label': '1'}
{'title': '光莆股份非公开发行股票申请获证监会审核通过', 'label': '1'}
{'title': '以岭药业连花清咳片获得药品注册批件', 'label': '1'}
{'title': '毅达皇台交易所受理公司股票恢复上市申请', 'label': '1'}
{'title': '南方航空拟发行可转债募资不超亿元将用于飞机购置航材购置及维修项目引进备用发动机和补充流动资金', 'label': '1'}
{'title': '浙大网新拟购买万里扬不超过其现有总股本的股份', 'label': '1'}
{'title': '绿色动力联合中标不超亿元环境能源项目', 'label': '1'}
{'title': '神州信息三家下属子公司拟被授予级企业', 'label': '1'}
{'title': '众泰汽车铁牛集团力争月日前完成年度业绩补偿', 'label': '1'}
{'title': '新奥股份拟重组收购新奥能源股份', 'label': '1'}
{'title': '一品红拟公开发行不超亿元可转债', 'label': '1'}
{'title': '天业参投的并购基金出售三六零亿元股票', 'label': '1'}
{'title': '中简科技签订亿元重大销售合同占去年营收', 'label': '1'}
{'title': '东珠生态联合中标约亿元工程总承包', 'label': '1'}
{'title': '亚星拟向全资子公司增资万元推进项目建设', 'label': '1'}
{'title': '厦门国贸漳州全资子公司亿元福州闽侯拿地', 'label': '1'}
{'title': '中国电建中标郑州市约亿元轨道交通项目', 'label': '1'}
{'title': '天奇股份全资子公司中标万元宝钢湛江项目', 'label': '1'}
{'title': '新华保险前月保费同比增长月单月同比增长', 'label': '1'}
{'title': '际华集团月日至月日获政府补助万元', 'label': '1'}
{'title': '兰太实业拟将股票简称改为中盐化工', 'label': '1'}
{'title': '百特拟将股票简称改为雅博', 'label': '1'}
{'title': '山鼎设计股票简称月日起改为华图山鼎', 'label': '1'}
{'title': '侨银环保拟发行不超亿元可转债', 'label': '1'}
{'title': '德生科技拟万元设广州全资子公司', 'label': '1'}
{'title': '深大通控股子公司华云金鑫取得工业大麻种植许可证', 'label': '1'}
{'title': '三诺生物全资子公司拟万元收购健恒医院股权', 'label': '1'}
{'title': '铁汉生态亿元设深圳全资子公司', 'label': '1'}
{'title': '继峰股份拟亿元获股权', 'label': '1'}
{'title': '健帆生物拟发行不超亿元可转债', 'label': '1'}
